(0, 0.05, 0.0, 0.0, 1, 0.01)
(1, 0.05, 0.0, 0.0, 1, 0.01)
(2, 0.05, 0.0, 0.0, 1, 0.01)
(3, 0.128, 2.34, 0.0008, 1, 0.01)
(4, 0.079, 0.86, 0.0003, 1, 0.01)
(5, 0.061, 0.32, 0.0001, 1, 0.01)
(6, 0.206, 4.67, 0.0016, 1, 0.01)
(7, 0.107, 1.72, 0.0006, 1, 0.01)
(8, 0.071, 0.63, 0.0002, 1, 0.01)
(9, 0.284, 7.01, 0.0023, 1, 0.01)
(10, 0.136, 2.58, 0.0009, 1, 0.01)
(11, 0.082, 0.95, 0.0003, 1, 0.01)
(12, 0.362, 9.35, 0.0031, 1, 0.01)
(13, 0.165, 3.44, 0.0011, 1, 0.01)
(14, 0.092, 1.26, 0.0004, 1, 0.01)
(15, 0.439, 11.68, 0.0039, 1, 0.01)
(16, 0.193, 4.3, 0.0014, 1, 0.01)
(17, 0.103, 1.58, 0.0005, 1, 0.01)
(18, 0.517, 14.02, 0.0047, 1, 0.01)
(19, 0.222, 5.16, 0.0017, 1, 0.01)
(20, 0.113, 1.9, 0.0006, 1, 0.01)
(21, 0.595, 16.35, 0.0055, 1, 0.01)
(22, 0.251, 6.02, 0.002, 1, 0.01)
(23, 0.124, 2.21, 0.0007, 1, 0.01)
(24, 0.673, 18.69, 0.0062, 1, 0.01)
(25, 0.279, 6.88, 0.0023, 1, 0.01)
(26, 0.134, 2.53, 0.0008, 1, 0.01)
(27, 0.751, 21.03, 0.007, 1, 0.01)
(28, 0.308, 7.74, 0.0026, 1, 0.01)
(29, 0.145, 2.85, 0.0009, 1, 0.01)
